the,"13,406,337"
i,"12,239,479"
a,"11,422,334"
to,"10,408,649"
you,"10,037,314"
is,"8,560,662"
and,"6,549,973"
kappa,"5,877,405"
in,"5,691,331"
it,"5,442,053"
for,"4,861,554"
on,"4,446,230"
that,"4,202,218"
me,"4,031,272"
lol,"4,014,224"
of,"3,920,874"
3,"3,560,893"
my,"3,545,484"
d,"3,400,600"
no,"3,350,040"
this,"3,338,440"
do,"3,070,001"
so,"3,068,006"
have,"3,065,530"
has,"3,004,998"
are,"2,868,456"
was,"2,817,418"
what,"2,730,127"
your,"2,726,752"
can,"2,673,646"
like,"2,665,914"
with,"2,650,070"
de,"2,646,225"
just,"2,553,782"
https,"2,479,513"
1,"2,445,893"
lul,"2,439,130"
stream,"2,424,845"
u,"2,413,321"
get,"2,328,497"
xd,"2,310,469"
not,"2,305,116"
be,"2,275,876"
but,"2,018,904"
if,"2,004,097"
he,"1,986,560"
go,"1,982,634"
2,"1,972,005"
now,"1,895,490"
pogchamp,"1,888,684"
at,"1,861,133"
good,"1,813,527"
up,"1,798,008"
all,"1,765,701"
o,"1,755,799"
la,"1,735,934"
how,"1,717,569"
or,"1,696,237"
im,"1,673,851"
que,"1,620,544"
game,"1,616,631"
"i'm","1,606,473"
by,"1,528,575"
out,"1,513,416"
le,"1,486,302"
play,"1,485,390"
one,"1,438,365"
been,"1,428,821"
got,"1,372,980"
we,"1,350,926"
du,"1,346,757"
its,"1,342,941"
hey,"1,333,109"
when,"1,299,048"
je,"1,269,998"
here,"1,264,451"
"не","1,251,022"
will,"1,238,557"
"в","1,231,015"
"it's","1,220,017"
time,"1,218,533"
en,"1,217,187"
http,"1,212,415"
see,"1,212,001"
oh,"1,200,064"
they,"1,198,048"
v,"1,179,773"
from,"1,162,513"
song,"1,161,423"
ich,"1,157,750"
5,"1,123,530"
tu,"1,117,044"
hi,"1,093,706"
"don't","1,090,205"
did,"1,089,675"
man,"1,082,357"
there,"1,079,112"
know,"1,057,590"
watch,"1,055,050"
more,"1,046,050"
as,"1,035,596"
why,"1,019,704"
"на","1,017,301"
10,"1,009,604"
un,"1,004,810"
na,"995,788"
an,"992,944"
back,"987,637"
chat,"986,107"
about,"983,347"
p,"983,032"
"и","974,877"
"я","967,280"
pas,"958,403"
4,"951,121"
only,"943,890"
yeah,"928,078"
pokemon,"920,424"
some,"910,734"
think,"909,780"
too,"908,024"
want,"898,300"
follow,"898,014"
ok,"895,381"
love,"890,034"
die,"885,450"
kreygasm,"876,045"
e,"873,410"
dont,"866,685"
gg,"859,341"
rip,"853,013"
points,"852,177"
"а","846,462"
4head,"835,740"
need,"821,202"
es,"818,844"
biblethump,"818,088"
"www.youtube.com","817,052"
gamble,"814,059"
new,"807,313"
se,"806,068"
yo,"803,138"
y,"798,933"
would,"796,578"
them,"795,845"
added,"788,167"
wutface,"781,190"
nice,"773,364"
going,"761,782"
yes,"760,608"
das,"760,008"
ja,"748,308"
el,"747,773"
am,"747,331"
people,"746,263"
"的","744,784"
his,"744,112"
then,"743,714"
him,"741,453"
make,"740,034"
si,"739,715"
et,"733,008"
right,"725,865"
und,"714,799"
ist,"707,563"
dansgame,"707,331"
well,"705,658"
who,"705,120"
still,"701,478"
team,"694,007"
guys,"690,645"
les,"688,938"
da,"685,926"
keepo,"681,990"
feelsbadman,"671,359"
ya,"663,593"
il,"655,097"
playing,"643,770"
te,"643,694"
much,"638,256"
"c'est","629,463"
live,"629,002"
100,"620,253"
really,"618,779"
"了","611,104"
use,"609,390"
queue,"609,044"
lmao,"608,542"
"是","607,455"
"我","601,187"
der,"600,845"
hello,"599,532"
kappapride,"596,685"
check,"592,700"
gonna,"587,706"
should,"585,109"
best,"579,478"
c,"578,569"
hours,"577,463"
"不","577,295"
wtf,"575,445"
"с","571,616"
"что","571,573"
"ты","571,091"
had,"568,140"
off,"566,300"
twitch,"558,192"
even,"557,296"
better,"553,523"
thanks,"547,123"
she,"546,254"
0,"543,682"
please,"543,549"
pour,"542,174"
6,"539,166"
channel,"534,847"
does,"533,914"
everyone,"532,918"
"у","528,040"
say,"527,818"
rolled,"526,747"
again,"523,759"
bad,"521,858"
sur,"521,555"
where,"520,843"
her,"520,482"
never,"518,823"
because,"516,726"
s,"514,588"
join,"513,491"
nicht,"510,757"
haha,"509,507"
"that's","509,050"
7,"507,688"
every,"504,997"
youtube,"503,094"
sr,"499,654"
next,"497,398"
"you're","494,600"
20,"492,132"
also,"488,384"
name,"486,855"
lost,"486,380"
first,"486,076"
ur,"485,580"
bet,"484,876"
wow,"483,461"
"подсказка","482,375"
shit,"480,887"
w,"480,274"
ne,"477,755"
stop,"474,774"
est,"465,177"
twitter,"463,977"
thats,"461,366"
welcome,"457,317"
sure,"455,975"
failfish,"453,138"
than,"452,244"
8,"451,656"
down,"450,929"
sub,"450,629"
take,"450,412"
ta,"449,791"
songrequest,"449,060"
day,"449,049"
"как","447,623"
wait,"445,529"
video,"444,803"
give,"441,895"
any,"439,225"
look,"437,837"
"有","437,733"
win,"436,407"
"can't","435,236"
last,"434,110"
link,"433,881"
mod,"432,160"
mais,"430,381"
doing,"427,532"
mal,"425,975"
minutes,"425,212"
"一","424,863"
"你","423,728"
nie,"418,750"
des,"417,641"
over,"417,482"
fuck,"415,686"
"это","415,629"
said,"414,544"
today,"410,944"
omg,"410,716"
eu,"410,631"
hrs,"408,952"
t,"408,437"
mi,"407,996"
way,"407,415"
trihard,"406,801"
same,"405,695"
mit,"405,289"
dude,"403,881"
sa,"403,619"
come,"403,130"
god,"403,119"
opieop,"401,822"
den,"400,656"
night,"397,790"
"好","397,707"
were,"397,039"
50,"396,636"
auch,"396,586"
could,"395,382"
into,"394,459"
notlikethis,"394,435"
level,"391,748"
30,"388,763"
pls,"388,363"
other,"387,880"
bro,"387,378"
games,"387,056"
type,"386,366"
position,"384,709"
work,"384,071"
try,"381,981"
r,"379,964"
er,"379,351"
after,"379,102"
add,"377,466"
damn,"375,225"
music,"374,073"
guy,"373,524"
us,"372,985"
won,"372,703"
thing,"372,120"
"за","371,661"
cant,"364,319"
heyguys,"361,650"
cool,"360,137"
moi,"358,551"
kill,"358,454"
fun,"358,435"
before,"358,318"
sorry,"358,274"
top,"358,156"
always,"357,938"
mean,"356,749"
free,"353,342"
ever,"352,923"
great,"352,537"
"à","351,354"
minglee,"350,648"
rank,"347,895"
auf,"347,565"
x,"346,827"
getting,"346,825"
pretty,"346,555"
long,"346,470"
ein,"345,713"
something,"344,580"
ma,"344,481"
wie,"343,456"
b,"339,900"
va,"339,818"
"i'll","338,525"
looks,"337,135"
hit,"336,937"
run,"336,572"
9,"335,766"
someone,"334,001"
hype,"333,355"
15,"333,091"
"twitter.com","332,506"
bye,"331,908"
life,"331,343"
q,"330,622"
real,"330,213"
ban,"330,100"
though,"326,312"
n,"323,989"
"he's","323,950"
"да","323,140"
whats,"322,779"
many,"321,674"
con,"320,557"
